national_code,date_granted,label,amount_approved,count_installment,num_loans,age,sex,marital_status,current_installments_amount_guarantee,num_negative_status_last_2years,num_negative_status_before_2years,total_early_payment,total_delayed_payment,max_installment_amount,oldest_loan_age,complete_last_payment_age,num_prev_0_1_yearLoans,num_prev_1_3_yearsLoans,guarantor_role,negstatus_guarantor_last_12_month,negstatus_guarantor_before_12_month,completed_to_all_loan_amount,variety_prev_purpose,outstanding_debt_ratio,sarresid_gozashte_6_month,sarresid_gozashte_6_18_month,sarresid_gozashte_18_120_month,moavagh_12_month,moavagh_12_120_month,mashkookolvosol_12_month,mashkookolvosol_12_120_month,worst_negative_status_last_2years,total_complete_installments_5years,total_current_installments,age_last_negative_status
hash_14011227_55073,14000319,0,230817648.5,12,2,59,زن,مجرد,0,0,0,0,20,198743054,1043,201,2,1,0,.,.,0.118733924,2,0.565217391,0,0,0,0,0,0,0,,22809922.04,0,.
hash_14011227_137138,14001202,0,992296331.6,27,1,63,مرد,متاهل,0,1,4,.,.,12530806.13,2786,.,1,0,1,0,.,.,1,0,0,0,5,0,0,0,0,سررسید گذشته,.,0,612
hash_14011227_82952,14001030,0,430354361.1,15,4,37,مرد,مجرد,202228198.7,0,7,0,64,44176308.42,2606,482,1,1,1,0,5,0.413632474,3,0.606867863,0,0,6,0,0,0,0,,66731511.97,36690820.69,1582
hash_14011227_68759,14001018,0,939265470.7,24,2,56,مرد,متاهل,0,2,0,.,.,26277044.39,784,.,2,1,0,.,.,.,2,0.567267713,1,1,0,0,0,0,0,سررسید گذشته,.,43241359.84,139
hash_14011227_82823,14000227,0,537826574.2,14,4,36,مرد,مجرد,71599223.52,0,0,.,.,60185623.64,441,.,5,1,1,0,0,.,1,0.914415741,0,0,0,0,0,0,0,,.,226858582.9,.
hash_14011227_39369,14000712,0,72840429.1,10,12,47,مرد,مجرد,2472766631,9,1,337,87,45721216.18,2602,252,4,3,1,4,0,0.328663069,5,0.373644008,3,6,1,0,0,0,0,سررسید گذشته,96268366.96,90427910.89,31
hash_14011227_2890,14001120,0,837226521.4,20,6,43,مرد,مجرد,13705649.79,1,1,73,79,230645865.6,1712,203,2,4,1,4,0,0.587916548,3,0.271366965,0,1,1,0,0,0,0,سررسید گذشته,243586365.3,14103012.1,501
hash_14011227_181843,14001221,0,992296331.6,48,1,79,مرد,متاهل,79023595.97,0,0,.,.,64172166.37,1313,.,1,0,1,0,0,.,1,0.278688525,0,0,0,0,0,0,0,,.,64172166.37,.
hash_14011227_193379,14001009,0,341551080.2,12,1,62,مرد,متاهل,18359130.32,0,0,278,0,23189519.99,1983,1165,1,0,1,0,.,1,1,0,0,0,0,0,0,0,0,,23189519.99,0,.
hash_14011227_79881,14000805,0,88908428.79,12,3,69,مرد,مجرد,50760741.89,0,0,31,0,8692370.942,4075,626,2,0,1,0,0,0.119743613,2,0.916666667,0,0,0,0,0,0,0,,2700194.349,8130100.873,.
hash_14011227_5182,14001113,0,920949173.5,24,6,46,مرد,مجرد,0,3,42,0,19,266725286.4,4236,73,2,2,0,.,.,0.465552672,5,0.600884621,1,1,39,0,4,0,0,سررسید گذشته,392317746.7,27356447.33,164
hash_14011227_72299,14001008,0,700179714.5,12,5,34,مرد,مجرد,225987956.2,0,36,141,0,55933963.72,2638,954,3,2,1,3,0,0.267140547,3,0.613571209,0,0,24,0,3,0,9,,14116381.28,19004752.3,985
hash_14011227_179907,14000602,0,377474907.8,24,7,47,مرد,مجرد,0,0,1,55,260,74929055.37,4920,117,1,2,0,.,0,0.569154151,5,0.711756339,0,0,1,0,0,0,0,,146004501.8,90836478.77,1008
hash_14011227_12429,14000830,0,462323829.7,12,3,38,مرد,مجرد,60700357.59,0,0,.,.,12295633.46,1763,.,2,0,1,0,.,.,2,1,0,0,0,0,0,0,0,,.,37045178.66,.
hash_14011227_195997,14000312,0,644191073.4,18,8,36,مرد,مجرد,0,7,4,.,.,36194926.57,1602,.,5,2,0,.,.,.,2,0.73756468,1,1,4,0,0,0,0,سررسید گذشته,.,95240955.84,164
hash_14011227_69140,14000511,0,168256772.5,14,2,37,مرد,متاهل,64807054.14,0,0,.,.,722671.4193,865,.,1,2,1,0,0,.,1,0.216216216,0,0,0,0,0,0,0,,.,722671.4193,.
hash_14011227_87189,14000825,0,177816857.6,20,3,40,مرد,متاهل,0,0,0,0,36,23503650.61,1493,362,2,1,0,.,.,0.491718976,1,0.805555556,0,0,0,0,0,0,0,,21864811.04,23503650.61,.
hash_14011227_182831,14010117,0,320458386.6,15,19,37,زن,متاهل,136209092.9,0,3,140,336,65833900.14,2300,469,6,4,1,0,0,0.278058261,5,0.711392142,0,0,3,0,0,0,0,,133034837.6,342262390.3,1263
hash_14011227_170208,14000428,0,202536739.2,24,3,35,مرد,مجرد,0,0,0,21,0,36328094.08,1866,791,2,0,0,.,.,0.553262392,2,0.223336584,0,0,0,0,0,0,0,,36328094.08,0,.
hash_14011227_98001,14000725,0,710194183.8,16,2,54,مرد,متاهل,0,0,0,.,.,77384164.69,1308,.,1,1,0,.,7,.,1,0.695125338,0,0,0,0,0,0,0,,.,93864968.82,.
hash_14011227_72620,14000920,0,577393863.5,12,4,57,مرد,متاهل,54854960.71,0,0,17,0,45541753.93,2287,1208,3,1,1,0,0,0.463641027,2,0.607481436,0,0,0,0,0,0,0,,40121029.03,45541753.93,.
hash_14011227_162011,14000524,0,304265344.5,36,6,35,مرد,مجرد,4295626.522,3,3,0,499,17540883.08,1713,848,1,3,1,3,2,0.335214304,2,0.384338544,0,2,1,0,1,0,1,سررسید گذشته,7483307.635,14132955.8,252
hash_14011227_157800,14001207,0,82691360.96,24,1,34,زن,مجرد,0,0,0,.,.,15868851.85,544,.,1,1,0,.,.,.,1,0.788235294,0,0,0,0,0,0,0,,.,15868851.85,.
hash_14011227_170544,14010224,0,463693208.6,24,2,47,مرد,متاهل,0,0,0,.,.,82111687.83,870,.,0,2,0,2,0,.,1,0.216216216,0,0,0,0,0,0,0,,.,0,.
hash_14011227_75769,14000902,0,549399009.5,24,14,42,مرد,مجرد,2315521245,2,0,0,176,256054743.8,3494,58,1,5,1,9,5,0.213718238,4,0.470790733,1,0,1,0,0,0,0,سررسید گذشته,291185300.8,117078683,141
hash_14011227_125577,14000509,0,569270644.6,17,3,49,زن,مجرد,195740838.4,0,0,0,2,52345180.23,1383,274,2,1,1,4,10,0.265801324,2,0.636456179,0,0,0,0,0,0,0,,32945659.81,43019699.59,.
hash_14011227_45572,14000907,0,437419593.6,21,2,37,مرد,مجرد,0,4,0,0,272,50880596.83,850,213,1,2,0,.,0,0.024803944,2,0.540540541,0,3,0,1,0,0,0,معوق,3990262.701,50880596.83,271
hash_14011227_117868,14000908,0,524903512.3,26,1,34,مرد,متاهل,0,0,0,.,.,28906761.73,75,.,2,0,0,.,.,.,1,0.950819672,0,0,0,0,0,0,0,,.,28906761.73,.
hash_14011227_19179,14000718,0,1092606437,18,2,54,مرد,مجرد,42023324.48,0,0,0,0,40324948.03,2874,1048,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,,40324948.03,0,.
hash_14011227_48162,14001214,0,330765443.9,20,3,36,مرد,متاهل,11689374.7,0,0,.,.,11689374.7,3824,.,1,1,1,4,0,.,2,0.062112986,0,0,0,0,0,0,0,,.,12470809.45,.
hash_14011227_37474,14001004,0,503787843.4,47,5,38,زن,متاهل,44559271.14,0,0,.,.,42804333.56,3447,.,1,3,1,0,0,.,1,0.299334232,0,0,0,0,0,0,0,,.,6410769.752,.
hash_14011227_58503,14000622,0,188737453.9,36,15,40,مرد,مجرد,479717456.5,4,10,433,230,63799374.14,2132,43,6,5,1,8,17,0.123622194,4,0.565979029,4,0,10,0,0,0,0,سررسید گذشته,46403484.03,174950252.9,20
hash_14011227_88579,14001226,0,248074082.9,30,4,42,مرد,متاهل,124839799.6,0,0,292,78,45934005.56,1776,380,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,,105071260,0,.
hash_14011227_200576,14001204,0,330765443.9,24,9,42,مرد,متاهل,4643955146,0,0,0,218,2622997463,1927,38,3,1,1,1,13,0.673520805,3,0.355155618,0,0,0,0,0,0,0,,5257311926,1861452735,.
hash_14011227_191289,14001011,0,423523339.5,10,5,36,مرد,مجرد,27244512.03,13,5,315,21,39153130.06,2078,83,1,1,1,0,4,0.576429688,2,0.492063492,1,4,11,0,0,0,0,سررسید گذشته,86340432.64,20338594.43,180
hash_14011227_132953,14000504,0,1177801334,17,2,74,مرد,متاهل,85140995.44,4,0,.,.,23724417.25,611,.,1,2,1,4,1,.,1,0.563094773,1,2,0,0,0,0,0,سررسید گذشته,.,42055522.51,88
hash_14011227_201195,14000320,0,1049171129,36,3,38,مرد,مجرد,0,0,0,0,394,34042760.75,2433,269,2,1,0,0,0,0.514701611,1,0.702702703,0,0,0,0,0,0,0,,40990145.49,29495321.07,.
hash_14011227_84283,14000915,0,1049807025,16,12,42,زن,مجرد,250830695.5,1,0,0,0,75527734.18,3143,245,2,4,1,0,1,0.084934681,2,0.510371802,0,1,0,0,0,0,0,سررسید گذشته,42287662.15,67584261.24,351
hash_14011227_46153,14001107,0,418613260.7,30,7,48,مرد,متاهل,144851897.6,7,15,0,235,62268999.95,1887,60,2,1,1,0,0,0.513004848,3,0.643868759,0,1,9,0,12,0,0,معوق,98565535.01,17012107.16,331
hash_14011227_140570,14001020,0,420107828.7,30,12,40,مرد,متاهل,62593273.63,0,0,45,81,40953647.26,2680,350,3,2,1,0,0,0.337411464,4,0.430237177,0,0,0,0,0,0,0,,83152441.2,87728774.94,.
hash_14011227_132676,14001102,0,165770851.2,12,2,76,مرد,متاهل,0,0,0,.,.,19714856.99,3738,.,1,0,0,.,.,.,2,0,0,0,0,0,0,0,0,,.,0,.
hash_14011227_146401,14001123,0,167445304.3,24,2,56,مرد,متاهل,0,0,0,0,0,37625658.97,2688,862,1,0,0,.,.,0.196844147,1,0.639344262,0,0,0,0,0,0,0,,18443221.74,37625658.97,.
hash_14011227_160833,14000310,0,1259005355,33,4,43,مرد,متاهل,0,0,13,.,.,17212879.86,3338,.,2,1,0,.,.,.,3,0.64,0,0,13,0,0,0,0,,.,0,1989
hash_14011227_136270,14000408,0,830400630.6,24,3,37,مرد,مجرد,2247749056,0,0,0,86,66723851.78,1738,921,1,2,1,5,0,0.144357375,3,0.459016393,0,0,0,0,0,0,0,,27234707.51,0,.
hash_14011227_134892,14001216,0,496148165.8,16,3,62,مرد,متاهل,256261213.2,0,0,74,0,55602454.16,1231,718,1,2,1,0,0,0.022959408,2,0.321639137,0,0,0,0,0,0,0,,8341703.938,55602454.16,.
hash_14011227_120270,14000906,0,174967837.4,24,8,43,مرد,متاهل,151522160.9,1,0,0,0,41055841.66,2502,653,1,4,1,0,0,0.376324761,4,0.516174869,0,0,1,0,0,0,0,سررسید گذشته,46068747.28,15168464.05,648
hash_14011227_88010,14000729,0,783034612.9,24,4,71,مرد,متاهل,0,0,2,0,221,54175438.76,2149,590,3,0,0,0,0,0.994200363,2,0.416666667,0,0,1,0,1,0,0,,83575920.45,658720.8362,865
hash_14011227_56465,14000326,0,419668451.7,36,4,49,مرد,مجرد,4923148740,1,0,16,38,208464122.8,2347,300,2,0,1,0,0,0.551328305,1,0.415823987,0,1,0,0,0,0,0,سررسید گذشته,57309785.45,714719.6155,422
hash_14011227_163462,14001005,0,939265470.7,24,3,41,مرد,مجرد,296004164.7,0,2,0,73,114032837.4,2411,189,1,2,1,5,1,0.604364583,3,0.305555556,0,0,2,0,0,0,0,,124846928.9,0,1392
hash_14011227_93687,14000622,0,509591125.5,12,3,35,مرد,مجرد,0,0,0,.,.,58522548.44,1072,.,2,2,0,.,.,.,1,0.764430299,0,0,0,0,0,0,0,,.,131111987.5,.
hash_14011227_85994,14000815,0,177816857.6,24,2,38,مرد,مجرد,16885735.84,0,2,0,38,25281748.65,1545,777,1,1,1,0,.,0.08705312,1,0.62295082,0,0,2,0,0,0,0,,6127234.939,25281748.65,1387
hash_14011227_48670,14000610,0,943687269.5,18,3,58,مرد,متاهل,0,5,7,0,268,13224022.15,1655,500,2,0,0,.,.,0.778904005,1,0.541666667,0,0,12,0,0,0,0,سررسید گذشته,18491174.26,0,591
hash_14011227_66505,14000918,0,689373279.5,24,5,69,مرد,متاهل,0,0,0,96,0,27822723.15,3243,959,2,1,0,.,.,0.572102176,4,0.826328953,0,0,0,0,0,0,0,,82625021.33,22223060.09,.
hash_14011227_95341,14000601,0,188737453.9,24,3,53,زن,مجرد,108967551.6,0,0,0,54,39327092.95,2186,1036,2,1,1,1,0,0.3951524,2,0.623049907,0,0,0,0,0,0,0,,26748361.76,39327092.95,.
hash_14011227_153878,14001111,0,1004671826,35,2,67,زن,متاهل,3968913.316,0,1,.,.,1680386757,3712,.,1,0,1,0,.,.,2,0.212962963,0,0,1,0,0,0,0,,.,16317631.55,2386
hash_14011227_83395,14000922,0,874839187.1,60,3,50,مرد,متاهل,4814972038,0,0,0,774,50005445.68,2102,69,2,0,1,2,0,0.873908243,3,0.722222222,0,0,0,0,0,0,0,,59431682.18,13623311.22,.
hash_14011227_149631,14000711,0,1092606437,22,4,39,زن,متاهل,0,0,0,0,42,122348174,598,7,2,3,0,.,.,0.391585217,2,0.626404015,0,0,0,0,0,0,0,,122348174,50583631.32,.
hash_14011227_118369,14000614,0,377474907.8,24,1,41,مرد,متاهل,35483737.74,0,0,.,.,36464957.34,588,.,1,1,1,0,0,.,1,0.591836735,0,0,0,0,0,0,0,,.,36464957.34,.
hash_14011227_42481,14000909,0,577393863.5,30,7,34,مرد,مجرد,64034593.4,8,0,3,54,39574688.92,2290,376,3,2,1,13,7,0.45773427,3,0.788256613,0,6,2,0,0,0,0,سررسید گذشته,33773407.44,79614088.46,239
hash_14011227_23291,14000813,0,889084287.9,48,1,47,مرد,مجرد,147131079.6,0,0,.,.,5612649.487,2419,.,1,0,1,0,0,.,1,0.058823529,0,0,0,0,0,0,0,,.,5612649.487,.
hash_14011227_120489,14001007,0,683102160.5,18,1,51,مرد,متاهل,0,0,1,.,.,17561785.47,2239,.,1,0,0,.,.,.,1,0.564705882,0,0,1,0,0,0,0,,.,17561785.47,953
hash_14011227_77168,14000302,0,293767916.2,14,2,34,مرد,متاهل,0,0,0,.,.,11515908.85,1287,.,1,0,0,.,.,.,1,0.173076923,0,0,0,0,0,0,0,,.,0,.
hash_14011227_53331,14000407,0,1215220435,22,7,43,مرد,متاهل,193819254.6,9,7,138,0,59881332.15,2142,676,3,2,1,0,11,0.079172915,2,0.582646357,5,4,7,0,0,0,0,سررسید گذشته,17108771.2,28342430.69,7
hash_14011227_21394,14000819,0,533450572.7,24,1,41,مرد,مجرد,0,0,0,.,.,108939187.2,1397,.,1,0,0,.,.,.,1,0.684931507,0,0,0,0,0,0,0,,.,108939187.2,.
hash_14011227_96840,14000406,0,951922674.1,14,7,41,مرد,متاهل,59625678.12,0,11,0,242,46701762.14,2351,244,2,1,1,0,0,0.959648959,4,0.774193548,0,0,11,0,0,0,0,,84825602.14,816806.1379,1651
hash_14011227_155386,14000718,0,295003737.9,19,1,46,مرد,مجرد,0,5,21,0,906,19020395.67,5200,394,1,0,0,.,.,1,1,0,0,0,4,0,15,0,7,مشکوک الوصول,19020395.67,0,425
hash_14011227_159152,14001105,0,1004671826,60,2,38,زن,متاهل,0,0,1,0,213,26032020.2,2229,920,1,1,0,.,.,0.595744241,1,0.277777778,0,0,1,0,0,0,0,,26032020.2,0,1072
hash_14011227_39528,14000817,0,1066901145,60,2,54,مرد,متاهل,14231157.63,0,0,0,52,57837727.41,1990,842,1,1,1,0,0,0.301567819,1,0.432432432,0,0,0,0,0,0,0,,24973072.21,0,.
hash_14011227_150613,14000822,0,711267430.3,17,1,72,مرد,مجرد,0,6,2,0,409,8751269.113,1810,305,1,0,0,.,0,1,1,0,0,6,2,0,0,0,0,سررسید گذشته,8751269.113,0,328
hash_14011227_700,14001005,0,1024653241,22,2,34,زن,مجرد,0,0,0,104,0,43416161.53,747,366,2,1,0,.,.,0.3152488,2,0.694444444,0,0,0,0,0,0,0,,43416161.53,41912953.48,.
hash_14011227_178504,14000620,0,943687269.5,22,4,61,مرد,متاهل,19890764.99,0,1,0,0,50979438.23,3142,994,1,1,1,0,0,0.259161562,2,0.297297297,0,0,1,0,0,0,0,,41743305.71,0,2337
hash_14011227_87238,14001225,0,330765443.9,24,1,51,مرد,متاهل,0,0,0,.,.,20817247.85,632,.,1,1,0,.,.,.,1,0.571428571,0,0,0,0,0,0,0,,.,20817247.85,.
hash_14011227_65249,14001006,0,939265470.7,24,8,34,مرد,متاهل,52308087.43,6,1,0,187,37700363.25,1839,556,3,4,1,0,0,0.171002718,2,0.568534131,0,0,3,2,2,0,0,معوق,22779785.76,70817849.53,321
hash_14011227_19095,14001112,0,837226521.4,43,12,44,مرد,متاهل,12890470.77,0,3,0,3484,31777978.16,4818,119,1,3,1,1,1,0.662529943,4,0.213049426,0,0,0,0,3,0,0,,89654766.47,0,1960
hash_14011227_66106,14000917,0,349935674.9,24,3,45,مرد,متاهل,14580653.12,0,0,.,.,80326111.04,1898,.,1,0,1,0,.,.,1,0.256339116,0,0,0,0,0,0,0,,.,80997286.83,.
hash_14011227_49015,14000602,0,566212361.7,20,1,56,مرد,متاهل,401896174.3,0,0,0,241,11323971.15,1989,652,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,,11323971.15,0,.
hash_14011227_173587,14001023,0,247624533.2,24,9,53,مرد,متاهل,836722670.9,0,0,16,424,98280511.51,3054,109,1,3,1,0,22,0.451645408,3,0.378427553,0,0,0,0,0,0,0,,246777106.8,55125033.81,.
hash_14011227_23384,14001117,0,259540221.6,36,4,35,مرد,متاهل,22193755.79,0,0,0,49,17449218.34,791,377,2,3,1,0,.,0.444159739,2,0.461663123,0,0,0,0,0,0,0,,17449218.34,456627.5179,.
hash_14011227_62894,14001217,0,117421732.6,17,2,35,زن,متاهل,512166210.8,0,1,0,84,21397059.73,2319,413,1,0,1,0,0,1,2,0,0,0,1,0,0,0,0,,27440872.19,0,1252
hash_14011227_68997,14000813,0,1066901145,44,5,36,زن,متاهل,16003517.18,7,0,.,.,88705352.89,1270,.,1,0,1,0,.,.,1,0.717639933,0,6,1,0,0,0,0,سررسید گذشته,.,304911795.6,379
hash_14011227_147424,14001214,0,119075559.8,10,5,40,زن,متاهل,0,6,14,4,0,26333560.05,3475,926,3,1,0,.,.,0.196871247,2,0.70823792,0,5,15,0,0,0,0,سررسید گذشته,12015926.87,26333560.05,334
hash_14011227_123107,14001123,0,502335912.8,24,9,53,مرد,مجرد,135387968.9,0,7,13,208,103909618.8,2595,220,4,1,1,0,0,0.657643567,3,0.748560163,0,0,7,0,0,0,0,,174342042.1,116344067.2,1210
hash_14011227_29683,14001118,0,602803095.4,18,3,44,زن,مجرد,0,0,0,16,83,106207644.4,1694,588,1,1,0,.,.,1,1,0,0,0,0,0,0,0,0,,288420913,0,.
hash_14011227_158923,14001111,0,354984045.1,20,9,35,زن,متاهل,416936191.3,1,0,0,86,2503287604,1509,49,2,5,1,1,1,0.715753223,4,0.682186982,0,1,0,0,0,0,0,سررسید گذشته,3089429912,47141221.37,535
hash_14011227_43808,14000602,0,377474907.8,24,1,47,مرد,متاهل,139388676.9,0,0,.,.,19690011.58,2465,.,1,0,1,0,.,.,1,0.546448087,0,0,0,0,0,0,0,,.,19690011.58,.
hash_14011227_115174,14001113,0,602803095.4,24,3,36,مرد,مجرد,43581281.7,0,10,133,0,49393571.55,1962,634,2,0,1,0,1,0.424953776,2,0.916666667,0,0,9,0,0,0,0,,13688020.12,49393571.55,896
hash_14011227_52552,14001219,0,512686438,19,13,39,مرد,متاهل,386576394.2,20,3,45,160,2418181648,2339,410,5,3,1,1,24,0.270557203,5,0.641075012,0,8,10,0,0,0,0,سررسید گذشته,524010501.1,246882366.5,324
hash_14011227_131152,14000616,0,188737453.9,12,11,46,مرد,مجرد,5285252111,8,0,62,1118,64172166.37,2787,79,2,3,1,22,138,0.567682883,3,0.343796792,0,3,0,5,0,0,0,معوق,174549716.3,64172166.37,186
hash_14011227_10306,14001005,0,853877700.6,48,3,37,مرد,مجرد,43542908.79,2,38,0,0,36564592.79,2673,1168,1,1,1,0,0,0.1403456,1,0.388888889,0,0,1,0,30,0,7,معوق,5976960.195,0,615
hash_14011227_65280,14000509,0,392600444.6,24,2,45,مرد,متاهل,0,0,0,.,.,53656552.63,822,.,1,2,0,.,.,.,1,0.324950043,0,0,0,0,0,0,0,,.,0,.
hash_14011227_39478,14000514,0,392600444.6,10,7,48,مرد,مجرد,1196374222,0,0,98,4,24012355.04,1733,504,3,4,1,6,0,0.357283073,2,0.509245,0,0,0,0,0,0,0,,24300383.65,0,.
hash_14011227_11948,14001008,0,853877700.6,36,3,35,مرد,متاهل,25741833.45,0,3,0,42,19796448.99,1771,268,3,0,1,12,0,0.657514697,2,0.61200176,0,0,3,0,0,0,0,,14188815.18,0,1440
hash_14011227_125955,14001019,0,358628634.3,14,2,49,مرد,مجرد,10497633.98,0,0,.,.,5823080.122,626,.,1,2,1,4,0,.,1,0.291666667,0,0,0,0,0,0,0,,.,0,.
hash_14011227_29811,14001125,0,83722652.14,19,4,49,زن,متاهل,0,0,0,.,.,20842465.82,989,.,3,2,0,.,.,.,2,0.632036094,0,0,0,0,0,0,0,,.,41576645.29,.
hash_14011227_153416,14000510,0,196300222.3,24,2,39,مرد,متاهل,69745639.61,0,0,0,17,34907719.75,1642,1076,1,1,1,0,0,0.030458248,1,0.803278689,0,0,0,0,0,0,0,,3716355.214,34907719.75,.
hash_14011227_173703,14000417,0,607610217.5,36,5,50,مرد,مجرد,961712087.3,2,0,0,72,38272356.2,1677,170,2,2,1,15,4,0.517126089,2,0.669648635,1,0,1,0,0,0,0,سررسید گذشته,46114425.19,16658727.12,79
hash_14011227_136913,14000421,0,739259098,12,4,42,مرد,متاهل,0,34,35,0,193,122911289.7,3171,460,1,0,0,.,.,0.262977396,2,0.273972603,5,13,41,0,0,0,0,سررسید گذشته,101517518.7,33299426.02,21
hash_14011227_78607,14001222,0,463071621.4,14,1,42,زن,متاهل,0,2,10,.,.,11132697.91,1700,.,1,0,0,.,.,.,1,0,0,1,11,0,0,0,0,سررسید گذشته,.,0,538
hash_14011227_42118,14000513,0,98150111.14,24,1,35,زن,متاهل,0,5,5,0,253,9565534.201,2407,328,1,0,0,.,.,1,1,0,0,1,7,1,1,0,0,معوق,9565534.201,0,355
hash_14011227_18689,14000323,0,314751338.8,23,14,46,مرد,مجرد,376396936.8,0,0,602,18,74432604.56,1974,36,4,3,1,0,2,0.517341406,3,0.565179348,0,0,0,0,0,0,0,,236357096.6,136593631.4,.
hash_14011227_199141,14001030,0,426938850.3,19,13,40,زن,متاهل,147474861,0,14,1132,201,89041216.29,2544,410,6,3,1,0,0,0.56704218,3,0.947012607,0,0,10,0,0,0,3,,239730317.8,88643482.31,1067
hash_14011227_162716,14001218,0,330765443.9,24,7,53,مرد,مجرد,273075518.8,4,0,0,0,50169045.99,5054,261,1,2,1,4,3,0.540497592,3,0.393442623,0,3,0,0,0,0,0,سررسید گذشته,123236245.9,50169045.99,307
hash_14011227_131029,14001116,0,167445304.3,12,8,34,مرد,مجرد,85832174.4,0,0,598,0,36437644.96,1620,757,1,4,1,0,0,0.332402821,3,0.393443819,0,0,0,0,0,0,0,,25028601.04,52265731.8,.
hash_14011227_65131,14000729,0,364202145.5,24,5,49,مرد,مجرد,15728121.16,0,0,0,55,189667217.3,2270,710,2,1,1,0,0,0.247788254,5,0.69808489,0,0,0,0,0,0,0,,31011957.94,55620599.84,.
hash_14011227_36766,14001113,0,167445304.3,18,9,50,مرد,متاهل,0,15,38,105,672,23627993.21,3167,321,2,0,0,.,5,0.919630321,2,0.716598699,0,2,20,0,25,0,0,معوق,71781621.43,5907215.009,379
hash_14011227_124240,14000830,0,1013904609,84,2,46,مرد,متاهل,0,0,0,.,.,39495208.94,720,.,1,2,0,.,.,.,2,0.519862396,0,0,0,0,0,0,0,,.,39495208.94,.
